50000 50000
1 50000
2 2 1
2 4 1
2 6 1
2 8 1
2 10 1
2 12 1
2 14 1
2 16 1
2 18 1
2 20 1
2 22 1
2 24 1
2 26 1
2 28 1
2 30 1
2 32 1
2 34 1
2 36 1
2 38 1
2 40 1
2 42 1
2 44 1
2 46 1
2 48 1
2 50 1
2 52 1
2 54 1
2 56 1
2 58 1
2 60 1
2 62 1
2 64 1
2 66 1
2 68 1
2 70 1
2 72 1
2 74 1
2 76 1
2 78 1
2 80 1
2 82 1
2 84 1
2 86 1
2 88 1
2 90 1
2 92 1
2 94 1
2 96 1
2 98 1
2 100 1
2 102 1
2 104 1
2 106 1
2 108 1
2 110 1
2 112 1
2 114 1
2 116 1
2 118 1
2 120 1
2 122 1
2 124 1
2 126 1
2 128 1
2 130 1
2 132 1
2 134 1
2 136 1
2 138 1
2 140 1
2 142 1
2 144 1
2 146 1
2 148 1
2 150 1
2 152 1
2 154 1
2 156 1
2 158 1
2 160 1
2 162 1
2 164 1
2 166 1
2 168 1
2 170 1
2 172 1
2 174 1
2 176 1
2 178 1
2 180 1
2 182 1
2 184 1
2 186 1
2 188 1
2 190 1
2 192 1
2 194 1
2 196 1
2 198 1
2 200 1
2 202 1
2 204 1
2 206 1
2 208 1
2 210 1
2 212 1
2 214 1
2 216 1
2 218 1
2 220 1
2 222 1
2 224 1
2 226 1
2 228 1
2 230 1
2 232 1
2 234 1
2 236 1
2 238 1
2 240 1
2 242 1
2 244 1
2 246 1
2 248 1
2 250 1
2 252 1
2 254 1
2 256 1
2 258 1
2 260 1
2 262 1
2 264 1
2 266 1
2 268 1
2 270 1
2 272 1
2 274 1
2 276 1
2 278 1
2 280 1
2 282 1
2 284 1
2 286 1
2 288 1
2 290 1
2 292 1
2 294 1
2 296 1
2 298 1
2 300 1
2 302 1
2 304 1
2 306 1
2 308 1
2 310 1
2 312 1
2 314 1
2 316 1
2 318 1
2 320 1
2 322 1
2 324 1
2 326 1
2 328 1
2 330 1
2 332 1
2 334 1
2 336 1
2 338 1
2 340 1
2 342 1
2 344 1
2 346 1
2 348 1
2 350 1
2 352 1
2 354 1
2 356 1
2 358 1
2 360 1
2 362 1
2 364 1
2 366 1
2 368 1
2 370 1
2 372 1
2 374 1
2 376 1
2 378 1
2 380 1
2 382 1
2 384 1
2 386 1
2 388 1
2 390 1
2 392 1
2 394 1
2 396 1
2 398 1
2 400 1
2 402 1
2 404 1
2 406 1
2 408 1
2 410 1
2 412 1
2 414 1
2 416 1
2 418 1
2 420 1
2 422 1
2 424 1
2 426 1
2 428 1
2 430 1
2 432 1
2 434 1
2 436 1
2 438 1
2 440 1
2 442 1
2 444 1
2 446 1
2 448 1
2 450 1
2 452 1
2 454 1
2 456 1
2 458 1
2 460 1
2 462 1
2 464 1
2 466 1
2 468 1
2 470 1
2 472 1
2 474 1
2 476 1
2 478 1
2 480 1
2 482 1
2 484 1
2 486 1
2 488 1
2 490 1
2 492 1
2 494 1
2 496 1
2 498 1
2 500 1
2 502 1
2 504 1
2 506 1
2 508 1
2 510 1
2 512 1
2 514 1
2 516 1
2 518 1
2 520 1
2 522 1
2 524 1
2 526 1
2 528 1
2 530 1
2 532 1
2 534 1
2 536 1
2 538 1
2 540 1
2 542 1
2 544 1
2 546 1
2 548 1
2 550 1
2 552 1
2 554 1
2 556 1
2 558 1
2 560 1
2 562 1
2 564 1
2 566 1
2 568 1
2 570 1
2 572 1
2 574 1
2 576 1
2 578 1
2 580 1
2 582 1
2 584 1
2 586 1
2 588 1
2 590 1
2 592 1
2 594 1
2 596 1
2 598 1
2 600 1
2 602 1
2 604 1
2 606 1
2 608 1
2 610 1
2 612 1
2 614 1
2 616 1
2 618 1
2 620 1
2 622 1
2 624 1
2 626 1
2 628 1
2 630 1
2 632 1
2 634 1
2 636 1
2 638 1
2 640 1
2 642 1
2 644 1
2 646 1
2 648 1
2 650 1
2 652 1
2 654 1
2 656 1
2 658 1
2 660 1
2 662 1
2 664 1
2 666 1
2 668 1
2 670 1
2 672 1
2 674 1
2 676 1
2 678 1
2 680 1
2 682 1
2 684 1
2 686 1
2 688 1
2 690 1
2 692 1
2 694 1
2 696 1
2 698 1
2 700 1
2 702 1
2 704 1
2 706 1
2 708 1
2 710 1
2 712 1
2 714 1
2 716 1
2 718 1
2 720 1
2 722 1
2 724 1
2 726 1
2 728 1
2 730 1
2 732 1
2 734 1
2 736 1
2 738 1
2 740 1
2 742 1
2 744 1
2 746 1
2 748 1
2 750 1
2 752 1
2 754 1
2 756 1
2 758 1
2 760 1
2 762 1
2 764 1
2 766 1
2 768 1
2 770 1
2 772 1
2 774 1
2 776 1
2 778 1
2 780 1
2 782 1
2 784 1
2 786 1
2 788 1
2 790 1
2 792 1
2 794 1
2 796 1
2 798 1
2 800 1
2 802 1
2 804 1
2 806 1
2 808 1
2 810 1
2 812 1
2 814 1
2 816 1
2 818 1
2 820 1
2 822 1
2 824 1
2 826 1
2 828 1
2 830 1
2 832 1
2 834 1
2 836 1
2 838 1
2 840 1
2 842 1
2 844 1
2 846 1
2 848 1
2 850 1
2 852 1
2 854 1
2 856 1
2 858 1
2 860 1
2 862 1
2 864 1
2 866 1
2 868 1
2 870 1
2 872 1
2 874 1
2 876 1
2 878 1
2 880 1
2 882 1
2 884 1
2 886 1
2 888 1
2 890 1
2 892 1
2 894 1
2 896 1
2 898 1
2 900 1
2 902 1
2 904 1
2 906 1
2 908 1
2 910 1
2 912 1
2 914 1
2 916 1
2 918 1
2 920 1
2 922 1
2 924 1
2 926 1
2 928 1
2 930 1
2 932 1
2 934 1
2 936 1
2 938 1
2 940 1
2 942 1
2 944 1
2 946 1
2 948 1
2 950 1
2 952 1
2 954 1
2 956 1
2 958 1
2 960 1
2 962 1
2 964 1
2 966 1
2 968 1
2 970 1
2 972 1
2 974 1
2 976 1
